    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    23     TN_FW_1              TT2_JBOG_PESW_VER_CHECK             2023-11-06 12:25:08            2023-11-06 12:25:20          00:00:12        pass   
    24     TN_FW_1              IDLE                                2023-11-06 12:25:20            2023-11-06 12:25:21          00:00:01        pass   
    25     TN_FW_1              IDLE                                2023-11-06 12:25:21            2023-11-06 12:25:22          00:00:01        pass   
    26     TN_FW_1              TT2_JBOG_K2V5_VER_CHECK             2023-11-06 12:25:22            2023-11-06 12:25:29          00:00:07        pass   
    27     TN_FW_2              TT2_JBOG_CABLE_DETECT               2023-11-06 12:25:29            2023-11-06 12:26:23          00:00:54        pass   
    28     TN_FW_2              TT2_JBOG_RPM_PRESENCE               2023-11-06 12:26:23            2023-11-06 12:26:39          00:00:16        pass   
    29     TN_FW_2              TT2_JBOG_FRU_CHECK                  2023-11-06 12:26:39            2023-11-06 12:26:45          00:00:06        pass   
    30     TN_FW_2              TT2_JBOG_SMC_FRU_CHECK              2023-11-06 12:26:45            2023-11-06 12:26:48          00:00:03        pass   
    31     TN_FW_2              TT2_JBOG_K2V5_FRU_CHECK             2023-11-06 12:26:48            2023-11-06 12:26:52          00:00:04        pass   
    32     TN_HW                TT2_JBOG_SMC_MAC_CHECK              2023-11-06 12:26:52            2023-11-06 12:26:53          00:00:01        pass   
    33     TN_HW                TT2_JBOG_SMC_POS_CHECK              2023-11-06 12:26:53            2023-11-06 12:26:54          00:00:01        pass   
    34     TN_HW                TT2_JBOG_SDR_CHECK                  2023-11-06 12:26:54            2023-11-06 12:26:55          00:00:01        pass   
    35     TN_HW                TT2_JBOG_PCIE_BUS_CHECK             2023-11-06 12:26:55            2023-11-06 12:26:59          00:00:04        pass   
    36     TN_HW                TT2_JBOG_FAN_CONFIG_CHECK           2023-11-06 12:26:59            2023-11-06 12:27:01          00:00:02        pass   
    37     TN_HW                TT2_JBOG_MX2_CHECK                  2023-11-06 12:27:01            2023-11-06 12:27:17          00:00:16        pass   
    38     TN_HW                IDLE                                2023-11-06 12:27:17            2023-11-06 12:27:18          00:00:01        pass   
    39     TN_HW                TT2_JBOG_MX2_MAC_REWORK             2023-11-06 12:27:18            2023-11-06 12:28:44          00:01:26        pass   
    40     TN_HW                TT2_JBOG_K2V5_LIST_CHECK            2023-11-06 12:28:44            2023-11-06 12:28:45          00:00:01        pass   
    41     TN_HW                TT2_JBOG_CARD_LIST_CHECK            2023-11-06 12:28:45            2023-11-06 12:28:49          00:00:04        pass   
    42     TN_HW                TT2_JBOG_INTERNAL_LAN_CHECK         2023-11-06 12:28:49            2023-11-06 12:30:09          00:01:20        pass   
    43     TN_HW                TT2_JBOG_SOL_TEST                   2023-11-06 12:30:09            2023-11-06 12:37:19          00:07:10        pass   
    44     TN_LOG               IDLE                                2023-11-06 12:37:19            2023-11-06 12:37:20          00:00:01        pass   
    45     TN_LOG               TT2_JBOG_SEL_CHECK                  2023-11-06 12:37:20            2023-11-06 12:37:22          00:00:02        pass   
    46     TN_LOG               TT2_SEL_CLEAR                       2023-11-06 12:37:22            2023-11-06 12:37:24          00:00:02        pass   
    47     TN_END               SFCS_UPLOAD_TIME                    2023-11-06 12:37:24            2023-11-06 12:37:45          00:00:21        pass   
    48     TN_END               SFCS_PASS                           2023-11-06 12:37:45            2023-11-06 12:37:55          00:00:10        pass   
    49     TO_START             SFCS_UPLOAD_TIME                    2023-11-06 12:37:55            2023-11-06 12:38:05          00:00:10        pass   
    50     TO_MLA               TT2_JBOG_CABLE_DETECT               2023-11-06 12:38:05            2023-11-06 12:39:02          00:00:57        pass   
