    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    97     TO_AC_1              TT2_POWER_AC_CYCLE                  2023-08-12 19:10:14            2023-08-12 19:34:33          00:24:19        pass   
    98     TO_AC_1              TT2_CPU_CONFIG_CHECK                2023-08-12 19:34:33            2023-08-12 19:34:33          00:00:01        pass   
    99     TO_AC_1              TT2_MEMORY_SLOT_CHECK               2023-08-12 19:34:33            2023-08-12 19:34:34          00:00:01        pass   
   100     TO_AC_1              TT2_BMC_MAC_CHECK                   2023-08-12 19:34:34            2023-08-12 19:34:36          00:00:02        pass   
   101     TO_AC_1              TT2_MCIO_CHECK                      2023-08-12 19:34:36            2023-08-12 19:35:20          00:00:44        pass   
   102     TO_AC_1              TT2_PCIE_CONFIG_CHECK               2023-08-12 19:35:20            2023-08-12 19:35:20          00:00:01        pass   
   103     TO_AC_1              TT2_PCIE_DEVICES_CHECK              2023-08-12 19:35:20            2023-08-12 19:35:20          00:00:01        pass   
   104     TO_AC_1              TT2_NVME_CHECK                      2023-08-12 19:35:20            2023-08-12 19:35:30          00:00:10        pass   
   105     TO_AC_1              TT2_FAN_CONFIG_CHECK                2023-08-12 19:35:31            2023-08-12 19:35:33          00:00:02        pass   
   106     TO_AC_1              TT2_DMI_CHECK                       2023-08-12 19:35:33            2023-08-12 19:35:36          00:00:03        pass   
   107     TO_AC_1              TT2_SDR_CHECK                       2023-08-12 19:35:36            2023-08-12 19:35:38          00:00:02        pass   
   108     TO_AC_1              TT2_SEL_CHECK                       2023-08-12 19:35:38            2023-08-12 19:35:43          00:00:05        pass   
   109     TO_AC_1              TT2_MSG_CHECK                       2023-08-12 19:35:43            2023-08-12 19:35:44          00:00:01        pass   
   110     TO_AC_1              TT2_MCE_CHECK                       2023-08-12 19:35:44            2023-08-12 19:35:44          00:00:01        pass   
   111     TO_AC_2              TT2_SEL_CLEAR                       2023-08-12 19:35:44            2023-08-12 19:35:52          00:00:08        pass   
   112     TO_AC_2              TT2_POWER_AC_CYCLE                  2023-08-12 19:35:52            2023-08-12 20:01:10          00:25:18        pass   
   113     TO_AC_2              TT2_CPU_CONFIG_CHECK                2023-08-12 20:01:10            2023-08-12 20:01:10          00:00:01        pass   
   114     TO_AC_2              TT2_MEMORY_SLOT_CHECK               2023-08-12 20:01:10            2023-08-12 20:01:10          00:00:01        pass   
   115     TO_AC_2              TT2_BMC_MAC_CHECK                   2023-08-12 20:01:10            2023-08-12 20:01:14          00:00:04        pass   
   116     TO_AC_2              TT2_MCIO_CHECK                      2023-08-12 20:01:14            2023-08-12 20:01:58          00:00:44        pass   
   117     TO_AC_2              TT2_PCIE_CONFIG_CHECK               2023-08-12 20:01:58            2023-08-12 20:01:58          00:00:01        pass   
   118     TO_AC_2              TT2_PCIE_DEVICES_CHECK              2023-08-12 20:01:58            2023-08-12 20:01:58          00:00:01        pass   
   119     TO_AC_2              TT2_NVME_CHECK                      2023-08-12 20:01:58            2023-08-12 20:02:09          00:00:11        pass   
   120     TO_AC_2              TT2_FAN_CONFIG_CHECK                2023-08-12 20:02:09            2023-08-12 20:02:11          00:00:02        pass   
   121     TO_AC_2              TT2_DMI_CHECK                       2023-08-12 20:02:12            2023-08-12 20:02:15          00:00:03        pass   
   122     TO_AC_2              TT2_SDR_CHECK                       2023-08-12 20:02:15            2023-08-12 20:02:17          00:00:02        pass   
   123     TO_AC_2              TT2_SEL_CHECK                       2023-08-12 20:02:17            2023-08-12 20:02:23          00:00:06        pass   
   124     TO_AC_2              TT2_MSG_CHECK                       2023-08-12 20:02:23            2023-08-12 20:02:23          00:00:01        pass   
   125     TO_AC_2              TT2_MCE_CHECK                       2023-08-12 20:02:23            2023-08-12 20:02:23          00:00:01        pass   
