    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    35     IDT_CONFIG_CHECK     NETLAKE_I2C_BUS_SCAN                2023-09-15 15:20:26            2023-09-15 15:20:29          00:00:03        pass   
    36     IDT_CONFIG_CHECK     NETLAKE_HPET_CHECK                  2023-09-15 15:20:29            2023-09-15 15:20:30          00:00:01        pass   
    37     IDT_CONFIG_CHECK     NETLAKE_PIC_CHECK                   2023-09-15 15:20:30            2023-09-15 15:20:30          00:00:01        pass   
    38     IDT_CONFIG_CHECK     NETLAKE_DMI_TEST                    2023-09-15 15:20:30            2023-09-15 15:20:30          00:00:01        pass   
    39     IDT_CONFIG_CHECK     CPU_CONFIG_CHECK                    2023-09-15 15:20:30            2023-09-15 15:20:31          00:00:01        pass   
    40     IDT_CONFIG_CHECK     NETLAKE_SOL_CHECK                   2023-09-15 15:20:31            2023-09-15 15:30:07          00:09:36        pass   
    41     IDT_CONFIG_CHECK     YM3_NVME_SSD_CONFIG_CHECK           2023-09-15 15:30:07            2023-09-15 15:30:08          00:00:01        pass   
    42     IDT_GUID_CHECK       NETLAKE_GUID_CHECK                  2023-09-15 15:30:08            2023-09-15 15:30:09          00:00:01        pass   
    43     IDT_SFCS_PASS        SFCS_STAGE_END                      2023-09-15 15:30:09            2023-09-15 15:30:11          00:00:02        pass   
    44     IDT_SFCS_PASS        SFCS_PASS                           2023-09-15 16:08:07            2023-09-15 16:08:07          00:00:01        pass   
    45     RDT_START            SFCS_STAGE_START                    2023-09-15 16:08:27            2023-09-15 16:08:34          00:00:07        pass   
    46     RDT_DC_CYCLE         YM_SEL_CLEAR                        2023-09-15 16:08:34            2023-09-15 16:08:35          00:00:01        pass   
    47     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-09-15 16:08:35            2023-09-15 16:15:14          00:06:39        pass   
    48     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-09-15 16:15:14            2023-09-15 16:15:15          00:00:01        pass   
    49     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-09-15 16:15:15            2023-09-15 16:15:15          00:00:01        pass   
    50     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-09-15 16:15:15            2023-09-15 16:15:15          00:00:01        pass   
    51     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-09-15 16:15:15            2023-09-15 16:15:17          00:00:02        pass   
    52     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-09-15 16:15:17            2023-09-15 16:15:17          00:00:01        pass   
    53     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-09-15 16:15:17            2023-09-15 16:21:57          00:06:40        pass   
    54     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-09-15 16:21:57            2023-09-15 16:21:58          00:00:01        pass   
    55     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-09-15 16:21:58            2023-09-15 16:21:58          00:00:01        pass   
    56     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-09-15 16:21:58            2023-09-15 16:21:58          00:00:01        pass   
    57     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-09-15 16:21:58            2023-09-15 16:22:00          00:00:02        pass   
    58     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-09-15 16:22:00            2023-09-15 16:22:00          00:00:01        pass   
    59     RDT_DC_CYCLE         YM3_SLOT_DC                         2023-09-15 16:22:00            2023-09-15 16:28:45          00:06:45        pass   
    60     RDT_DC_CYCLE         YM3_SEL_CHECK                       2023-09-15 16:28:45            2023-09-15 16:28:46          00:00:01        pass   
    61     RDT_DC_CYCLE         YM3_DMESG_CHECK                     2023-09-15 16:28:46            2023-09-15 16:28:46          00:00:01        pass   
    62     RDT_DC_CYCLE         YM3_MESSAGES_CHECK                  2023-09-15 16:28:46            2023-09-15 16:28:46          00:00:01        pass   
    63     RDT_DC_CYCLE         NETLAKE_SDR_CHECK                   2023-09-15 16:28:46            2023-09-15 16:28:48          00:00:02        pass   
    64     RDT_DC_CYCLE         YM3_MCE_CHECK                       2023-09-15 16:28:48            2023-09-15 16:28:48          00:00:01        pass   
    65     RDT_GRACEFUL_SHUTDOWN YM_SEL_CLEAR                        2023-09-15 16:28:49            2023-09-15 16:28:49          00:00:01        pass   
    66     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-09-15 16:28:49            2023-09-15 16:35:40          00:06:51        pass   
    67     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-09-15 16:35:40            2023-09-15 16:35:41          00:00:01        pass   
    68     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-09-15 16:35:41            2023-09-15 16:35:41          00:00:01        pass   
    69     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-09-15 16:35:41            2023-09-15 16:35:42          00:00:01        pass   
    70     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-09-15 16:35:42            2023-09-15 16:35:43          00:00:01        pass   
    71     RDT_GRACEFUL_SHUTDOWN YM3_MCE_CHECK                       2023-09-15 16:35:43            2023-09-15 16:35:44          00:00:01        pass   
    72     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-09-15 16:35:44            2023-09-15 16:42:35          00:06:51        pass   
    73     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-09-15 16:42:35            2023-09-15 16:42:35          00:00:01        pass   
    74     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-09-15 16:42:35            2023-09-15 16:42:36          00:00:01        pass   
    75     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-09-15 16:42:36            2023-09-15 16:42:36          00:00:01        pass   
    76     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-09-15 16:42:36            2023-09-15 16:42:38          00:00:02        pass   
    77     RDT_GRACEFUL_SHUTDOWN YM3_MCE_CHECK                       2023-09-15 16:42:38            2023-09-15 16:42:38          00:00:01        pass   
    78     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-09-15 16:42:38            2023-09-15 16:49:30          00:06:52        pass   
    79     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-09-15 16:49:30            2023-09-15 16:49:30          00:00:01        pass   
    80     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-09-15 16:49:30            2023-09-15 16:49:31          00:00:01        pass   
    81     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-09-15 16:49:31            2023-09-15 16:49:31          00:00:01        pass   
    82     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-09-15 16:49:31            2023-09-15 16:49:33          00:00:02        pass   
