    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    70     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-10-04 09:44:53            2023-10-04 09:44:53          00:00:01        pass   
    71     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-10-04 09:44:53            2023-10-04 09:44:55          00:00:02        pass   
    72     RDT_GRACEFUL_SHUTDOWN YM3_MCE_CHECK                       2023-10-04 09:44:55            2023-10-04 09:44:55          00:00:01        pass   
    73     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-10-04 09:44:55            2023-10-04 09:51:59          00:07:04        pass   
    74     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-10-04 09:51:59            2023-10-04 09:52:00          00:00:01        pass   
    75     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-10-04 09:52:00            2023-10-04 09:52:00          00:00:01        pass   
    76     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-10-04 09:52:00            2023-10-04 09:52:00          00:00:01        pass   
    77     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-10-04 09:52:00            2023-10-04 09:52:02          00:00:02        pass   
    78     RDT_GRACEFUL_SHUTDOWN YM3_MCE_CHECK                       2023-10-04 09:52:02            2023-10-04 09:52:03          00:00:01        pass   
    79     RDT_GRACEFUL_SHUTDOWN NETLAKE_GRACEFUL_SHUTDOWN           2023-10-04 09:52:03            2023-10-04 09:59:08          00:07:05        pass   
    80     RDT_GRACEFUL_SHUTDOWN YM3_SEL_CHECK                       2023-10-04 09:59:08            2023-10-04 09:59:08          00:00:01        pass   
    81     RDT_GRACEFUL_SHUTDOWN YM3_DMESG_CHECK                     2023-10-04 09:59:08            2023-10-04 09:59:08          00:00:01        pass   
    82     RDT_GRACEFUL_SHUTDOWN YM3_MESSAGES_CHECK                  2023-10-04 09:59:08            2023-10-04 09:59:09          00:00:01        pass   
    83     RDT_GRACEFUL_SHUTDOWN NETLAKE_SDR_CHECK                   2023-10-04 09:59:09            2023-10-04 09:59:10          00:00:01        pass   
    84     RDT_GRACEFUL_SHUTDOWN YM3_MCE_CHECK                       2023-10-04 09:59:10            2023-10-04 09:59:11          00:00:01        pass   
    85     RDT_AC_CYCLE         YM_SEL_CLEAR                        2023-10-04 09:59:11            2023-10-04 09:59:12          00:00:01        pass   
    86     RDT_AC_CYCLE         YM3_SLED_AC                         2023-10-04 09:59:12            2023-10-04 10:08:11          00:08:59        pass   
    87     RDT_AC_CYCLE         YM3_SEL_CHECK                       2023-10-04 10:08:11            2023-10-04 10:08:12          00:00:01        pass   
    88     RDT_AC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 10:08:12            2023-10-04 10:08:12          00:00:01        pass   
    89     RDT_AC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 10:08:12            2023-10-04 10:08:13          00:00:01        pass   
    90     RDT_AC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 10:08:13            2023-10-04 10:08:14          00:00:01        pass   
